precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 127,000|/inmueble/443695|Departamento en  Calle U - 1, Chorrillos, Perú|168m2|3|3|PE|Chorrillos, Lima|Lima Departamento|Calle U - 1, Chorrillos, Perú|-12.2096124|-77.01887
$ 225,000|/inmueble/410236|Departamento en  Jirón Fernando Castrat 370, Surco, Perú|146m2|4|3|PE|Santiago de Surco, Lima|Lima Departamento|Jirón Fernando Castrat 370, Surco, Perú|-12.130497|-76.998148
$ 100,000|/inmueble/596121|Departamento en  Avenida Javier Prado Este, Cercado De Lima, Perú|72m2|3|2|PE|San Borja, Lima|Lima Departamento|Avenida Javier Prado Este, Cercado De Lima, Perú|-12.0824319|-76.9857042
$ 107,000|/inmueble/527693|Departamento en  Av. Bolivar 2150, Pueblo Libre, Perú|78m2|3|2|PE|Pueblo Libre, Lima|Lima Departamento|Av. Bolivar 2150, Pueblo Libre, Perú|-12.0704524|-77.0764803
$ 169,000|/inmueble/437968|Departamento en  Avenida Alfredo Benavides, Surco, Perú|120m2|3|3|PE|Santiago de Surco, Lima|Lima Departamento|Avenida Alfredo Benavides, Surco, Perú|-12.1287812|-76.9982062
$ 199,000|/inmueble/465075|Departamento en  Calle Las Fresas, Surco, Perú|134m2|3|3|PE|Santiago de Surco, Lima|Lima Departamento|Calle Las Fresas, Surco, Perú|-12.1240042|-76.9759328
$ 290,000|/inmueble/517472|Departamento en  Calle Berlín, Miraflores, Perú|111m2|2|3|PE|Santa Cruz, Miraflores, Lima|Lima Departamento|Calle Berlín, Miraflores, Perú|-12.1201575|-77.0376103
$ 168,000|/inmueble/459144|Departamento en  Jirón Domingo Millan 824, Jesús María 15072, Perú|206m2|5|2|PE|Salaverry Et.2, Jesus Maria, Lima|Lima Departamento|Jirón Domingo Millan 824, Jesús María 15072, Perú|-12.077772|-77.043405
$ 550,000|/inmueble/492c-8cf4-3fe821a8-e033caa26d1-4585|Departamento en  Av. Ricardo Palma 846, Lima 15047, Perú|154m2|3|5|PE|San Antonio, Miraflores, Lima|Lima Departamento|Av. Ricardo Palma 846, Lima 15047, Perú|-12.122105601639182|-77.0214834460327
$ 290,000|/inmueble/5a9e-b224-df2d1164-f0c4199da9f6-43f9|Departamento en  Las Gaviotas, Asia, Perú|200m2|6|4|PE|San Vicente De Cañete, Cañete|Lima Departamento|Las Gaviotas, Asia, Perú|-12.7392964|-76.6323799
