Empresa	Medio de Acceso	Mes	Departamento	Conexiones		
CABLE VISION HUANUCO S.A.C. 		2004-03-01	HUÁNUCO	"4,262"		
CABLE VISION HUANUCO S.A.C. 		2004-03-01	JUNÍN	757		
CABLE VISION TUMBES S.A.C		2004-03-01	TUMBES	"1,861"		
CABLE VISION ZARUMILLA S.A.C.		2004-03-01	TUMBES	"1,311"		
CABLE YURIMAGUAS S.R.L.		2004-03-01	LORETO	"1,347"		
CABLE ZOFRI S.R.L.		2004-03-01	AREQUIPA	658		
CABLE ZOFRI S.R.L.		2004-03-01	MOQUEGUA	"1,946"		
CABLENORTV S.A.C.		2004-03-01	LAMBAYEQUE	110		
CÉSAR HUMBERTO MINAYA VELÁSQUEZ (T.V CABLE SAYAN)		2004-03-01	LIMA	305		
CJG CABLE S.R.L.		2004-03-01	PASCO	351		
DANTE DANIEL DE LA CRUZ CASTRO		2004-03-01	LIMA	265		
ECONOCABLE PERÚ S.A.C.		2004-03-01	APURÍMAC	486		
ECONOCABLE S.A.C.		2004-03-01	MADRE DE DIOS	"2,991"		
ELVIS CIRINEO LEON MONTERO		2004-03-01	JUNÍN	146		
ELVIS WILBERT CERNA ERAZO		2004-03-01	PIURA	80		
EMPRESA DE SERVICIOS T.V. CABLE ANDAHUASI S.A.		2004-03-01	LIMA	600		
EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA E.I.R.L.		2004-03-01	LIMA	994		
EMPRESA DE TV Y RADIODIFUSION BAHIA E.I.R.L.		2004-03-01	ICA	"1,057"		
ENELIDA CABANILLAS ALAYO DE GONZALES		2004-03-01	UCAYALI	232		
EVELYN S.A.C. 		2004-03-01	SAN MARTÍN	606		
GENARO CABRERA CABANILLAS		2004-03-01	LA LIBERTAD	187		
H&C T.V. S.A.		2004-03-01	LIMA	"1,521"		
HELMER GODOFREDO FERNANDEZ DE LA CRUZ		2004-03-01	LIMA	275		
ISIDRO ALBERTO CABANILLAS URBINA		2004-03-01	LA LIBERTAD	386		
J.R. TELECOM S.R.L.		2004-03-01	LIMA	"3,853"		
JOSÉ MILTON BENITES PANTOJA		2004-03-01	ANCASH	587		
JULIO CÉSAR SILVA REINA		2004-03-01	AMAZONAS	30		
KOREA PERÚ S.A. (KOPESA) 		2004-03-01	LIMA	396		
LUIS GONZALO FUENTES SOTELO 		2004-03-01	LIMA	726		
MERY ESTHER ORCHARD CHILMAZA		2004-03-01	LA LIBERTAD	574		
MULTIVISIÓN S.R.L.		2004-03-01	AREQUIPA	120		
NEOMICIA DEL ÁGUILA PINTO DE MORI		2004-03-01	SAN MARTÍN	139		
ORLANDO GONZALES CABRERA		2004-03-01	LA LIBERTAD	324		
PARABOLICA TV S.A.C.		2004-03-01	PIURA	"1,502"		
PATELCOM S.R.L.		2004-03-01	LIMA	310		
PEDRO JUAN LACA BUENDÍA		2004-03-01	LAMBAYEQUE	165		
PEDRO MARTÍN FUENTES SOTELO 		2004-03-01	LIMA	579		
RADIO TV H.P.CH. E.I.R.L.		2004-03-01	LIMA	"2,471"		
SERVICIOS CABLE SUR S.A.C.		2004-03-01	ICA	"3,254"		
STAR GLOBAL COM S.A.C.		2004-03-01	AREQUIPA	"6,872"		
STAR GLOBAL COM S.A.C.		2004-03-01	TACNA	"5,060"		
SUPERCABLE TELEVISION S.R.LTDA.		2004-03-01	PIURA	"5,311"		
TARMA VISIÓN S.R.L.		2004-03-01	JUNÍN	709		
TELE CABLE FUTURO S.A.C.		2004-03-01	ANCASH	245		
TELE CABLE MOTUPE S.R.L.		2004-03-01	LAMBAYEQUE	197		
TELECABLE CASMA S.R.LTDA. 		2004-03-01	ANCASH	615		
TELECABLE PAITA S.R.L.		2004-03-01	PIURA	"1,409"		
TELECABLE PANGOA S.R.L.		2004-03-01	JUNÍN	348		
TELECABLE SIGLO 21 S.A.A.		2004-03-01	LIMA	"6,268"		
TELECABLE TRUJILLO S.A.C.		2004-03-01	LA LIBERTAD	230		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-03-01	ANCASH	"3,475"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-03-01	AREQUIPA	"12,291"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-03-01	CUSCO	"7,202"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-03-01	JUNÍN	"2,557"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-03-01	LA LIBERTAD	"11,964"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-03-01	LAMBAYEQUE	"5,584"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-03-01	LIMA	"298,913"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-03-01	PIURA	"4,133"		
TELEVISIÓN ALVIS E.I.R.L.		2004-03-01	LORETO	174		
TELEVISION SAN MARTIN S.A.C.		2004-03-01	SAN MARTÍN	"2,559"		
TELEVISIÓN TOTAL S.A.C.		2004-03-01	LIMA	926		
TELEVISORA SATELITAL S.A.C.		2004-03-01	ANCASH	411		
TELEVISORA TLS CHEPEN S.A.C.		2004-03-01	LA LIBERTAD	919		
TV CABLE DEL NORTE  S.R.L.		2004-03-01	LIMA	279		
TV CABLE OLCARÍN S.R.L		2004-03-01	SAN MARTÍN	210		
TV CABLE PUEBLO NUEVO 		2004-03-01	LA LIBERTAD	281		
TV CABLE RIOJA E.I.R.L. 		2004-03-01	SAN MARTÍN	"1,374"		
TV CABLE S.A. 		2004-03-01	PUNO	"1,365"		
TV CABLE SAN JUAN S.R.L. 		2004-03-01	LORETO	"4,387"		
TV CABLE SATÉLITE BAGUA E.I.R.L. 		2004-03-01	AMAZONAS	137		
TV CABLE Y TELECOMUNICACIONES S.A.C.		2004-03-01	JUNÍN	276		
XILEF ZILAO ROJAS BARDALES		2004-03-01	PIURA	440		
AMAZONIA T.V. S.R.LTDA		2004-04-01	SAN MARTÍN	595		
ANIBAL ESTRELLA CARTAGENA		2004-04-01	LIMA	60		
ANTENAS CABLE VISIÓN SATELITE S.A. 		2004-04-01	LIMA	"3,659"		
ASELEC INGENIEROS SRL		2004-04-01	LIMA	854		
ASOCIACIÓN COMUNITARIA TV. SATÉLITE VENTANILLA 		2004-04-01	LIMA	901		
BENJAMÍN SEGUNDO CARDENAS SALDAÑA 		2004-04-01	LIMA	807		
BOGA COMUNICACIONES S.A.		2004-04-01	LAMBAYEQUE	"3,987"		
BOGA COMUNICACIONES S.A.		2004-04-01	LIMA	"10,448"		
CABLE CLUB S.R.L.		2004-04-01	MOQUEGUA	581		
CABLE CLUB S.R.L.		2004-04-01	TACNA	336		
CABLE JAEN S.R.L.		2004-04-01	CAJAMARCA	974		
CABLE JUNIOR S.A.		2004-04-01	ICA	"1,745"		
"CABLE ORIENTE S.A. (ahora, CABLE ORIENTE PERUANO S.A.C.)"		2004-04-01	UCAYALI	723		
CABLE SISTEMAS S.R.L.		2004-04-01	APURÍMAC	142		
CABLE TELEVISIÓN PAIJAN E.I.R.L		2004-04-01	LA LIBERTAD	420		
CABLE VIDEO PERÚ S.A.C.		2004-04-01	LIMA	799		
CABLE VISIÓN CÁRDENAS E.I.R.L		2004-04-01	SAN MARTÍN	351		
CABLE VISIÓN CHACHAPOYAS E.I.R.L		2004-04-01	AMAZONAS	962		
CABLE VISIÓN DEL CENTRO S.R.L.		2004-04-01	AYACUCHO	"2,461"		
CABLE VISIÓN DEL NORTE S.A.C.		2004-04-01	LA LIBERTAD	"2,248"		
CABLE VISION HUANUCO S.A.C. 		2004-04-01	HUÁNUCO	"4,250"		
CABLE VISION HUANUCO S.A.C. 		2004-04-01	JUNÍN	751		
CABLE VISION TUMBES S.A.C		2004-04-01	TUMBES	"1,921"		
CABLE VISION ZARUMILLA S.A.C.		2004-04-01	TUMBES	"1,345"		
CABLE YURIMAGUAS S.R.L.		2004-04-01	LORETO	"1,278"		
CABLE ZOFRI S.R.L.		2004-04-01	AREQUIPA	677		
CABLE ZOFRI S.R.L.		2004-04-01	MOQUEGUA	"1,929"		
CABLENORTV S.A.C.		2004-04-01	LAMBAYEQUE	119		
CÉSAR HUMBERTO MINAYA VELÁSQUEZ (T.V CABLE SAYAN)		2004-04-01	LIMA	310		
CJG CABLE S.R.L.		2004-04-01	PASCO	359		
DANTE DANIEL DE LA CRUZ CASTRO		2004-04-01	LIMA	295		
ECONOCABLE PERÚ S.A.C.		2004-04-01	APURÍMAC	528		
ECONOCABLE S.A.C.		2004-04-01	MADRE DE DIOS	"3,074"		
ELVIS CIRINEO LEON MONTERO		2004-04-01	JUNÍN	149		
ELVIS WILBERT CERNA ERAZO		2004-04-01	PIURA	180		
EMPRESA DE SERVICIOS T.V. CABLE ANDAHUASI S.A.		2004-04-01	LIMA	600		
EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA E.I.R.L.		2004-04-01	LIMA	"1,014"		
EMPRESA DE TV Y RADIODIFUSION BAHIA E.I.R.L.		2004-04-01	ICA	"1,114"		
ENELIDA CABANILLAS ALAYO DE GONZALES		2004-04-01	UCAYALI	241		
EVELYN S.A.C. 		2004-04-01	SAN MARTÍN	600		
GENARO CABRERA CABANILLAS		2004-04-01	LA LIBERTAD	187		
H&C T.V. S.A.		2004-04-01	LIMA	"1,624"		
HELMER GODOFREDO FERNANDEZ DE LA CRUZ		2004-04-01	LIMA	290		
